0,0,0,0,-1,2016/07/06,0,3,2,3.918,3.918,
0,0,0,1,-1,2016/07/06,0,2,2,7.52,7.52,
0,0,0,2,-1,2016/07/06,0,2,2,6.31,6.33,
0,0,0,3,-1,2016/07/06,0,2,2,13.27,13.77,
0,0,0,4,-1,2016/07/06,0,2,2,1.08,0.95,
0,0,0,5,-1,2016/07/06,0,2,2,0.39,0.39,
0,0,0,6,-1,2016/07/06,0,2,2,0.17,0.12,
0,0,0,7,-1,2016/07/06,0,1,2,22,22.2,
0,0,0,8,-1,2016/07/06,0,2,2,1.58,1.51,
0,0,0,9,-1,2016/07/06,0,2,2,1.77,1.75,
0,0,0,10,-1,2016/07/06,0,2,2,1.96,2,
0,0,0,11,-1,2016/07/06,0,2,2,0.63,0.66,
0,0,0,12,-1,2016/07/06,0,0,2,50,53,
0,0,0,13,-1,2016/07/06,3,0,1,68034,
0,0,0,14,-1,2016/07/06,0,4,2,0.0005,0.0006,
0,0,0,15,-1,2016/07/06,2,0,1,0,
0,0,0,16,-1,2016/07/06,3,0,1,151,
0,0,1,0,-1,2016/07/06,0,3,2,3.923,3.921,
0,0,1,1,-1,2016/07/06,0,2,2,7.52,7.53,
0,0,1,2,-1,2016/07/06,0,2,2,6.31,6.33,
0,0,1,3,-1,2016/07/06,0,2,2,13.27,13.77,
0,0,1,4,-1,2016/07/06,0,2,2,1.08,0.95,
0,0,1,5,-1,2016/07/06,0,2,2,0.39,0.39,
0,0,1,6,-1,2016/07/06,0,2,2,0.17,0.12,
0,0,1,7,-1,2016/07/06,0,1,2,22.1,22,
0,0,1,8,-1,2016/07/06,0,2,2,1.58,1.51,
0,0,1,9,-1,2016/07/06,0,2,2,1.78,1.8,
0,0,1,10,-1,2016/07/06,0,2,2,2.02,2.03,
0,0,1,11,-1,2016/07/06,0,2,2,0.6,0.58,
0,0,1,12,-1,2016/07/06,0,0,2,55,55,
0,0,1,13,-1,2016/07/06,3,0,1,68033,
0,0,1,14,-1,2016/07/06,0,4,2,0.0005,0.0006,
0,0,1,15,-1,2016/07/06,2,0,1,0,
0,0,1,16,-1,2016/07/06,3,0,1,157,
0,0,2,0,-1,2016/07/05,0,3,2,3.925,3.925,
0,0,2,1,-1,2016/07/05,0,2,2,7.52,7.53,
0,0,2,2,-1,2016/07/05,0,2,2,6.31,6.33,
0,0,2,3,-1,2016/07/05,0,2,2,13.27,13.77,
0,0,2,4,-1,2016/07/05,0,2,2,1.08,0.95,
0,0,2,5,-1,2016/07/05,0,2,2,0.39,0.39,
0,0,2,6,-1,2016/07/05,0,2,2,0.17,0.12,
0,0,2,7,-1,2016/07/05,0,1,2,21.9,21.8,
0,0,2,8,-1,2016/07/05,0,2,2,1.58,1.51,
0,0,2,9,-1,2016/07/05,0,2,2,1.72,1.79,
0,0,2,10,-1,2016/07/05,0,2,2,2.04,2.02,
0,0,2,11,-1,2016/07/05,0,2,2,0.67,0.64,
0,0,2,12,-1,2016/07/05,0,0,2,79,70,
0,0,2,13,-1,2016/07/05,3,0,1,68039,
0,0,2,14,-1,2016/07/05,0,4,2,0.0005,0.0006,
0,0,2,15,-1,2016/07/05,2,0,1,0,
0,0,2,16,-1,2016/07/05,3,0,1,171,
0,0,3,0,-1,2016/07/07,0,3,2,3.922,3.92,
0,0,3,1,-1,2016/07/07,0,2,2,7.53,7.5,
0,0,3,2,-1,2016/07/07,0,2,2,6.31,6.33,
0,0,3,3,-1,2016/07/07,0,2,2,13.27,13.77,
0,0,3,4,-1,2016/07/07,0,2,2,1.08,0.95,
0,0,3,5,-1,2016/07/07,0,2,2,0.39,0.39,
0,0,3,6,-1,2016/07/07,0,2,2,0.17,0.12,
0,0,3,7,-1,2016/07/07,0,1,2,22.2,22.1,
0,0,3,8,-1,2016/07/07,0,2,2,1.58,1.51,
0,0,3,9,-1,2016/07/07,0,2,2,1.81,1.73,
0,0,3,10,-1,2016/07/07,0,2,2,1.99,1.97,
0,0,3,11,-1,2016/07/07,0,2,2,0.64,0.62,
0,0,3,12,-1,2016/07/07,0,0,2,77,64,
0,0,3,13,-1,2016/07/07,3,0,1,68037,
0,0,3,14,-1,2016/07/07,0,4,2,0.0005,0.0005,
0,0,3,15,-1,2016/07/07,2,0,1,0,
0,0,3,16,-1,2016/07/07,3,0,1,157,
0,0,4,0,-1,2016/07/07,0,3,2,3.924,3.923,
0,0,4,1,-1,2016/07/07,0,2,2,7.52,7.52,
0,0,4,2,-1,2016/07/07,0,2,2,6.31,6.33,
0,0,4,3,-1,2016/07/07,0,2,2,13.27,13.77,
0,0,4,4,-1,2016/07/07,0,2,2,1.08,0.95,
0,0,4,5,-1,2016/07/07,0,2,2,0.39,0.39,
0,0,4,6,-1,2016/07/07,0,2,2,0.17,0.12,
0,0,4,7,-1,2016/07/07,0,1,2,21.9,22,
0,0,4,8,-1,2016/07/07,0,2,2,1.58,1.51,
0,0,4,9,-1,2016/07/07,0,2,2,1.86,1.7,
0,0,4,10,-1,2016/07/07,0,2,2,2.11,2.03,
0,0,4,11,-1,2016/07/07,0,2,2,0.71,0.66,
0,0,4,12,-1,2016/07/07,0,0,2,95,94,
0,0,4,13,-1,2016/07/07,3,0,1,68042,
